,id_product,product,brand,series,price,id_shop,location,storage,cpu,date,sold
97,85,Acer Aspire 5 A514,Acer,aspire,9089000.0,orka,Jakarta Utara,,Intel,2021-01-14,2
98,86,Acer Aspire 3 A314-32-c52q,Acer,aspire,3649000.0,hexosid,Jakarta Pusat,,Intel,2021-01-14,4
99,87,Acer Aspire 5 A514,Acer,aspire,6800000.0,vicomelektronic,Jakarta Barat,1 TB,Intel,2021-01-14,2
100,88,Acer Aspire 3 Slim,Acer,aspire,7399000.0,berjayacomid,Jakarta Pusat,256 GB,AMD,2021-01-14,2
101,89,Acer Aspire V5-431-987b250ma,Acer,aspire,4000000.0,atlaspolis,Semarang,,,2021-01-14,1
102,91,Acer Aspire 3 Slim,Acer,aspire,8299000.0,djteknologi,Jakarta Barat,512 GB,AMD,2021-01-14,4
103,92,Lenovo Thinkpad P53 Core,Acer,aspire,20499000.0,rakitanmantap,Jakarta Barat,512 GB,Intel,2021-01-14,1
104,93,Asus Vivobook K413eq I7-1165g7,Acer,aspire,13820000.0,protechcom,Jakarta Pusat,512 GB,Intel,2021-01-14,6
105,94,Lenovo T430 Core I5,Acer,aspire,2749000.0,debbybatavia,Bekasi,,Intel,2021-01-14,38
106,95,Pesanan Khusus Lenovo X250,Acer,aspire,4990000.0,rakitanmantap,Jakarta Barat,512 GB,Intel,2021-01-14,15
107,96,Hp Elitebook 725 G3,Acer,aspire,4399000.0,revocomputer,Jakarta Barat,512 GB,AMD,2021-01-14,1
108,97,Acer Aspire A311-31-c0lz [red],Acer,aspire,5049000.0,best-buyit,Makassar,,,2021-01-14,1
109,98,Acer Aspire A314-32 N,Acer,aspire,4700000.0,tokitokitoki,Pematang Siantar,1 TB,,2021-01-14,1
110,100,Acer Aspire 3 Slim,Acer,aspire,8299000.0,spacetech,Jakarta Barat,512 GB,AMD,2021-01-14,6
111,101,Acer Aspire 3 (a314-21),Acer,aspire,4000300.0,lalamark-1,Semarang,,AMD,2021-01-14,1
112,102,Acer Aspire C22-860 Thin,Acer,aspire,7699000.0,acerid,Jakarta Pusat,1 TB,Intel,2021-01-14,2
113,103,Acer Aspire A314 Amd,Acer,aspire,7450000.0,selvia6,Jakarta Utara,256 GB,AMD,2021-01-14,1
114,104,Acer Aspire 5 A514-51k-31u6,Acer,aspire,7699000.0,gudangpda,Jakarta Barat,1 TB,Intel,2021-01-14,4
115,106,Acer Aspire 5 A514,Acer,aspire,11997000.0,orka,Jakarta Utara,,Intel,2021-01-14,6
116,92,Lenovo Thinkpad P53 Core,Acer,aspire,20499000.0,rakitanmantap,Jakarta Barat,512 GB,Intel,2021-01-14,1
117,94,Lenovo T430 Core I5,Acer,aspire,2749000.0,debbybatavia,Bekasi,,Intel,2021-01-14,38
118,96,Hp Elitebook 725 G3,Acer,aspire,4399000.0,revocomputer,Jakarta Barat,512 GB,AMD,2021-01-14,1
119,107,Lenovo T420 Core I5,Acer,aspire,2649000.0,debbybatavia,Bekasi,,Intel,2021-01-14,24
120,108,Lenovo X250 I5 Gen,Acer,aspire,3950000.0,larislaptop,Tangerang,,Intel,2021-01-14,1
121,109,Acer Aspire 5 A515-44,Acer,aspire,9775000.0,acerstoreambas,Jakarta Selatan,512 GB,AMD,2021-01-14,1
122,110,Acer Aspire 5 A514,Acer,aspire,6363000.0,aneka-pilihan,Kab. Tangerang,1 TB,Intel,2021-01-14,2
123,111,Acer Aspire A514-53 I3-1005g1,Acer,aspire,8149000.0,auratechnology,Jakarta Pusat,1 TB,Intel,2021-01-14,1
124,112,Acer Aspire 3 Slim,Acer,aspire,8199000.0,citynotebook,Jakarta Selatan,512 GB,AMD,2021-01-14,2
125,113,Acer Aspire A314,Acer,aspire,3950000.0,summermakeup,Jakarta Timur,,,2021-01-14,4
126,114,Acer Aspire 3 Slim,Acer,aspire,6799000.0,cointechlogy,Tangerang,512 GB,AMD,2021-01-14,2
127,115,Acer Aspire A314 Amd,Acer,aspire,7150000.0,selvia6,Jakarta Utara,256 GB,AMD,2021-01-14,1
128,116,Acer Aspire 3 A314-22,Acer,aspire,5510000.0,omgits,Jakarta Selatan,256 GB,AMD,2021-01-14,2
129,117,Acer Aspire 5 A514,Acer,aspire,8200000.0,namek-shop,Batam,,,2021-01-14,4
130,118,Leptop Acer Aspire E1-421,Acer,aspire,4500000.0,yescc,Jakarta Utara,,,2021-01-14,7
131,1,Acer Aspire 5 A514-53,Acer,aspire,7350000.0,tokolaptopid,Jakarta Utara,512 GB,Intel,2021-01-14,8
132,2,Acer Aspire 3 A314-22,Acer,aspire,5555000.0,trinityitzone,Surabaya,256 GB,AMD,2021-01-14,11
133,3,Acer Aspire 3 Slim,Acer,aspire,6299000.0,majumandiricom-1,Medan,256 GB,AMD,2021-01-14,1
134,4,Acer Aspire 5 A514-53,Acer,aspire,7750000.0,rajacomkdr,Kediri,512 GB,Intel,2021-01-14,3
135,5,Acer Aspire 514-53g-52sr With,Acer,aspire,8650000.0,ariekakakoesnadi,Surakarta,,Intel,2021-01-14,4
136,119,Murah Acer Aspire Intel,Acer,aspire,8745000.0,worldoflaptop,Jakarta Pusat,,Intel,2021-01-14,1
137,120,Acer Aspire A314-22 Amd,Acer,aspire,5850000.0,itpropekanbaru,Pekanbaru,,AMD,2021-01-14,3
138,121,Acer Aspire 5 (a515-44-r7nz),Acer,aspire,9499000.0,itgarageid,Medan,,,2021-01-14,2
139,122,Acer Aspire 5 Core,Acer,aspire,10200000.0,haidaraccps4,Denpasar,512 GB,Intel,2021-01-14,1
140,123,Acer Aspire 5 A514,Acer,aspire,7958000.0,agungjayacomp,Jakarta Pusat,512 GB,Intel,2021-01-14,1
141,124,Jual Promo Murah Acer,Acer,aspire,9071400.0,aveshops,Surabaya,,AMD,2021-01-14,1
142,125,Acer Aspire 3 Slim,Acer,aspire,6799000.0,cistro,Jakarta Timur,512 GB,AMD,2021-01-14,1
143,126,Acer Aspire 3 A314-22,Acer,aspire,6499000.0,eprostore-x,Jakarta Selatan,256 GB,,2021-01-14,3
144,127,Acer Aspire 5 A514-54g-53ge,Acer,aspire,10810000.0,zencom,Tangerang,512 GB,Intel,2021-01-14,1
145,1,Acer Aspire 5 A514-53,Acer,aspire,7350000.0,tokolaptopid,Jakarta Utara,512 GB,Intel,2021-01-15,9
146,128,Acer Aspire 514-53g-52sr With,Acer,aspire,8745590.0,indri-treq,Jakarta Pusat,,Intel,2021-01-15,1
147,129,Acer Aspire 5 A514-44-r7nz,Acer,aspire,8999000.0,ana0608,Jakarta Pusat,512 GB,AMD,2021-01-15,1
148,130,Acer Aspire 5 A514-53,Acer,aspire,7299000.0,fastkomputer-1,Tangerang,512 GB,Intel,2021-01-15,92
149,131,Acer Aspire 5 514-53g-intel,Acer,aspire,8756600.0,mur4hk0m,Surabaya,1 TB,Intel,2021-01-15,7
150,6,Acer Aspire 5 A514-53,Acer,aspire,7399000.0,collinsofficial,Jakarta Pusat,512 GB,Intel,2021-01-15,191
151,10,Acer Aspire 3 Slim,Acer,aspire,5949000.0,collinsofficial,Jakarta Pusat,256 GB,AMD,2021-01-15,109
152,132,Acer Aspire 3 Slim,Acer,aspire,5699000.0,acerid,Jakarta Pusat,256 GB,AMD,2021-01-15,25
153,15,Acer Aspire 3 A314-22,Acer,aspire,6699000.0,protechcom,Jakarta Pusat,256 GB,AMD,2021-01-15,16
154,133,Acer Aspire 3 A315,Acer,aspire,6499000.0,prostorecomputer,Jakarta Utara,,AMD,2021-01-15,6
155,134,Acer Aspire 5 A514-53,Acer,aspire,7399000.0,protechcom,Jakarta Pusat,512 GB,Intel,2021-01-15,30
